aX,aY,aZ,gX,gY,gZ
0.731,-0.426,-0.485,129.639,23.987,99.548
0.626,-0.345,-0.424,142.273,21.301,117.004
0.576,-0.343,-0.385,145.264,14.099,140.137
0.477,-0.310,-0.334,138.916,9.155,163.208
0.347,-0.180,-0.289,136.230,10.864,182.068
0.272,-0.091,-0.260,142.090,16.235,195.984
0.231,-0.042,-0.246,146.606,23.682,203.308
0.169,-0.006,-0.202,148.621,35.217,205.383
0.147,0.075,-0.174,154.785,55.237,203.186
0.144,0.094,-0.175,166.809,80.444,192.688
0.065,0.043,-0.143,187.073,104.309,169.617
-0.146,0.046,-0.097,217.590,122.742,143.921
-0.387,0.220,-0.080,248.413,128.296,130.188
-0.575,0.338,-0.066,264.771,115.723,134.827
-0.641,0.382,-0.018,265.442,90.576,154.907
-0.722,0.450,0.032,254.089,55.847,182.190
-0.704,0.455,0.047,237.427,21.973,214.233
-0.679,0.417,0.183,223.572,-4.700,238.342
-0.719,0.584,0.387,218.994,-16.418,255.371
-0.596,0.694,0.521,229.736,-5.920,264.526
-0.496,0.665,0.679,250.610,17.944,251.709
-0.417,0.657,0.862,283.813,53.711,215.454
-0.318,0.604,1.072,332.825,94.543,164.124
-0.320,0.705,1.312,386.169,129.822,111.633
-0.411,1.217,1.604,426.941,146.484,79.956
-0.592,1.425,1.759,427.368,130.798,96.375
-0.776,1.434,1.636,368.164,98.511,138.062
-0.821,1.440,1.468,280.579,67.749,159.302
-0.808,1.288,1.341,209.839,38.025,158.264
-0.626,1.009,1.215,174.622,14.832,149.536
-0.397,0.727,1.154,161.926,1.038,147.705
-0.225,0.492,1.211,162.659,-2.319,154.785
-0.043,0.492,1.335,176.025,13.367,165.100
0.197,0.456,1.434,195.068,48.462,171.326
0.241,0.445,1.536,211.853,91.553,163.574
0.094,0.512,1.614,232.788,136.780,141.907
-0.086,0.635,1.672,256.653,179.382,118.591
-0.355,0.680,1.664,274.231,199.768,102.600
-0.702,0.628,1.547,271.667,190.186,103.088
-0.961,0.568,1.363,258.301,164.124,112.122
-0.991,0.432,1.151,245.728,130.615,123.352
