aX,aY,aZ,gX,gY,gZ
0.319,0.367,0.624,17.273,3.540,-2.686
0.330,0.348,0.644,18.677,3.845,-3.113
0.346,0.339,0.636,19.409,3.418,-3.235
0.366,0.311,0.637,20.386,-1.404,-2.991
0.373,0.292,0.630,21.667,-9.460,-2.136
0.363,0.262,0.613,22.339,-20.752,-2.014
0.329,0.232,0.582,23.132,-33.325,-0.549
0.291,0.190,0.537,23.743,-44.922,1.770

0.595,-0.490,1.417,-48.096,-160.706,-44.250
0.314,-0.373,0.823,53.589,-216.614,-52.185
0.180,-0.337,0.571,96.924,-217.346,-35.339
-0.071,-0.518,0.576,65.186,-192.749,11.963
0.010,-0.668,0.513,34.302,-132.874,39.063
0.010,-0.944,0.621,-1.770,-98.572,61.279
-0.126,-1.514,1.178,-55.969,-79.651,69.092
0.160,-1.250,0.794,-134.521,-58.716,54.382
0.154,-0.693,0.853,-147.156,-58.472,53.101
0.017,-0.333,1.166,-104.919,-79.224,32.104
0.009,-0.349,1.056,-50.781,-54.565,-9.827
-0.010,-0.510,0.881,-9.399,-24.963,-31.555
0.040,-0.584,0.839,14.404,-7.324,-23.804
0.089,-0.595,0.855,22.583,3.296,-11.414
0.147,-0.672,0.857,19.592,5.981,-7.812
0.135,-0.723,0.858,11.047,3.235,-4.761
0.105,-0.686,0.850,-1.221,-2.502,-2.441
0.072,-0.649,0.822,-9.460,-3.784,-0.244
0.019,-0.666,0.814,-12.512,-4.333,2.808
-0.026,-0.697,0.798,-13.550,-0.122,6.531
-0.053,-0.738,0.788,-18.188,7.324,10.254
-0.067,-0.773,0.746,-28.931,10.864,13.977
-0.097,-0.787,0.710,-45.105,13.977,16.174
-0.043,-0.732,0.640,-65.247,20.447,18.738
-0.016,-0.722,0.614,-85.876,20.447,27.771
-0.061,-0.653,0.615,-106.262,10.559,45.715
-0.048,-0.596,0.709,-121.521,1.404,62.500
0.022,-0.517,0.866,-119.751,-3.296,73.181
0.091,-0.421,0.975,-98.083,0.122,77.393
0.145,-0.398,0.999,-72.693,7.080,81.055
0.147,-0.392,0.980,-50.415,10.010,89.600
0.172,-0.415,1.005,-34.973,8.972,98.083
0.253,-0.446,1.105,-30.029,7.019,101.318
0.344,-0.458,1.211,-32.776,2.808,95.642
0.407,-0.437,1.249,-36.438,-2.136,82.764
0.460,-0.419,1.304,-31.128,-6.042,64.880
0.442,-0.427,1.401,-19.043,-12.756,43.518
0.347,-0.445,1.458,-13.977,-15.747,15.320
0.230,-0.475,1.467,-29.419,-15.259,-13.611
0.132,-0.507,1.530,-58.594,-17.456,-36.255
0.027,-0.563,1.597,-93.201,-28.076,-46.570
-0.030,-0.593,1.633,-124.512,-37.109,-48.401
0.028,-0.499,1.723,-147.705,-33.508,-46.326
0.021,-0.361,1.809,-163.147,-25.635,-36.438
0.061,-0.266,1.824,-172.302,-24.658,-32.593
-0.016,-0.235,1.839,-173.828,-25.635,-33.142
-0.104,-0.146,1.878,-170.166,-23.132,-35.522
-0.086,-0.005,1.980,-157.776,-15.137,-23.743
0.064,-0.123,1.922,-136.230,-8.423,0.488
0.164,-0.314,1.860,-125.488,-10.681,8.484
